path1,path2,path3,path4,word1,word2,word3,word4,delay,index,practiceTrial.thisRepN,practiceTrial.thisTrialN,practiceTrial.thisN,practiceTrial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcomeScreen.started,text.started,textbox.started,text.stopped,welcomeScreen.stopped,start_resp.keys,start_resp.rt,start_resp.duration,practiceSesh.started,practiceText.started,key_resp.started,practiceSesh.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trialStart.started,text_3.started,text_4.started,trialStart.stopped,firstWord.started,firstW.started,polygon.started,firstW.stopped,polygon.stopped,firstWord.stopped,secondWord.started,secondW.started,secondW.stopped,polygon_2.started,polygon_2.stopped,secondWord.stopped,thirdWord.started,thirdW.started,thirdW.stopped,polygon_3.started,polygon_3.stopped,thirdWord.stopped,fourthWord.started,fourthW.started,sound_1.started,fourthW.stopped,fourthWord.stopped,response.started,text_6.started,key_resp_2.started,response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialEnd.started,text_8.started,text_8.stopped,trialEnd.stopped,text_3.stopped,text_4.stopped,experimentStart.started,text_7.started,key_resp_3.started,experimentStart.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,EndScreen.started,text_5.started,text_5.stopped,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0033502000151202083,0.02311920002102852,4.007075299974531,4.023740699980408,11.540712199988775,space,7.530727299978025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.540746700018644,11.55574229999911,11.55574229999911,13.790068199974485,space,2.231554500060156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_12\card_en-IN-Standard-A.wav,audio\set_12\yard_en-IN-Standard-A.wav,audio\set_12\yards_en-IN-Standard-A.wav,audio\set_12\bard_en-IN-Standard-A.wav,card,yard,yards,bard,200,,0,0,0,0,,,,,13.80942619999405,,,,,,,,,,,,,,,,,13.797775099985301,13.80942619999405,13.80942619999405,16.804926899960265,16.804949900018983,16.821243899990804,18.804134199977852,18.82218090002425,19.30405899998732,19.288793899933808,19.28880959993694,19.30405899998732,21.304317399975844,21.304317399975844,21.803631899994798,21.787722300039604,21.787747800000943,21.803631899994798,23.804084999952465,23.804084999952465,24.303072400041856,24.287292300025,24.28731149993837,24.303072400041856,0.21348580007907003,26.30275959998835,26.286695200018585,26.28671769995708,26.30275959998835,26.30275959998835,34.61999100004323,n,8.313852999941446,None,34.6206414999906,34.63446660002228,36.13417949993163,36.11820819997229,,,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_12\card_en-IN-Standard-X.wav,audio\set_12\yard_en-IN-Standard-X.wav,audio\set_12\yards_en-IN-Standard-X.wav,audio\set_12\bard_en-IN-Standard-X.wav,card,yard,yards,bard,900,,0,1,1,2,,,,,36.13417949993163,,,,,,,,,,,,,,,,,36.118492100038566,36.13417949993163,36.13417949993163,39.117866099928506,39.117881200043485,39.13353370002005,41.13371850003023,41.13371850003023,41.63302039995324,41.61795849993359,41.61797369993292,41.63302039995324,43.63274809997529,43.63274809997529,44.13297439995222,44.11792200000491,44.117940600030124,44.13297439995222,46.133126899949275,46.133126899949275,,46.63242959999479,46.63244269997813,46.64887329994235,0.9114891000790522,48.648272300022654,48.63246829994023,48.63250009994954,48.648272300022654,48.648272300022654,48.71635260002222,n,0.05763409996870905,None,48.71664749993943,48.73165830003563,50.231467799982056,50.215565599966794,39.13353370002005,39.13353370002005,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_12\card_en-IN-Standard-C.wav,audio\set_12\yard_en-IN-Standard-C.wav,audio\set_12\yards_en-IN-Standard-C.wav,audio\set_12\bard_en-IN-Standard-C.wav,card,yard,yards,bard,600,,0,2,2,1,,,,,50.231467799982056,,,,,,,,,,,,,,,,,50.215855499962345,50.231467799982056,50.231467799982056,53.21532750001643,53.2153431000188,53.23098089999985,55.23033059993759,55.23033059993759,55.73039449995849,55.71519060002174,55.715207700035535,55.73039449995849,57.72989499999676,57.72989499999676,58.2299543999834,58.213899399968795,58.21395929995924,58.2299543999834,60.22963820002042,60.22963820002042,60.72936470003333,60.713414300000295,60.713430600007996,60.72936470003333,0.6134735000086948,62.728990499977954,62.7130187000148,62.713040399947204,62.728990499977954,62.728990499977954,63.41416289994959,n,0.674495599931106,None,63.41451989999041,63.42909170000348,64.97826380003244,64.91262369998731,53.23098089999985,53.23098089999985,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.91269399994053,64.97826380003244,66.92908719996922,68.7956617999589,space,1.8526300000958145,None,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_9\box_en-IN-Standard-A.wav,audio\set_9\fox_en-IN-Standard-A.wav,audio\set_9\ox_en-IN-Standard-A.wav,audio\set_9\rocks_en-IN-Standard-A.wav,box,fox,ox,rocks,0,0,,,,,0,0,0,0,68.82827109994832,,,,,,,,,,,,,,,,,68.82060700003058,68.82827109994832,68.82827109994832,71.81063930003438,71.8106853000354,71.82720519998111,73.81029359996319,73.82758010004181,74.31018609995954,74.29463200003374,74.29464770003688,74.31018609995954,76.3098697999958,76.3098697999958,76.809761099983,76.79380799992941,76.79382529994473,76.809761099983,78.80926609993912,78.80926609993912,79.30927410000004,79.2940655000275,79.29408369993325,79.30927410000004,0.002303000073879957,81.30879099993035,81.29274479998276,81.29276810004376,81.30879099993035,81.30879099993035,81.44334580004215,y,0.12661859998479486,None,81.4439242000226,81.45872669992968,82.95835790003184,82.94247380003799,,,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_3\train_en-IN-Standard-A.wav,audio\set_2\mood_en-IN-Standard-A.wav,audio\set_10\guy_en-IN-Standard-A.wav,audio\set_4\lace_en-IN-Standard-A.wav,rain,mood,guy,lace,550,4,,,,,0,1,1,4,82.95835790003184,,,,,,,,,,,,,,,,,82.94277710001916,82.95835790003184,82.95835790003184,85.942033899948,85.94204949995037,85.95788450003602,87.95824149996042,87.95824149996042,88.45740439998917,88.44138730003033,88.4414029000327,88.45740439998917,90.4570103000151,90.4570103000151,90.95693879993632,90.9410205000313,90.94103690003976,90.95693879993632,92.95647620002273,92.95647620002273,93.46852500003297,93.44049259996973,93.44051680003759,93.46852500003297,0.5626060999929905,95.47268949996214,95.45659509999678,95.45661729993299,95.47268949996214,95.47268949996214,96.05713430000469,n,0.5678879000479355,None,96.0574172999477,96.07253510004375,97.57225490000565,97.55629989993758,85.95788450003602,85.95788450003602,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_0\beat_en-IN-Standard-C.wav,audio\set_0\wheat_en-IN-Standard-C.wav,"audio\set_0
eed_en-IN-Standard-C.wav",audio\set_0\heat_en-IN-Standard-C.wav,beat,wheat,need,heat,500,3,,,,,0,2,2,11,97.57225490000565,,,,,,,,,,,,,,,,,97.55660050001461,97.57225490000565,97.57225490000565,100.55572349997237,100.55573799996637,100.571643400006,102.57131539995316,102.57131539995316,103.1406118000159,103.05605190002825,103.05606710002758,103.1406118000159,105.15412279998418,105.07088489993475,105.57088869996369,105.55565240001306,105.55566870002076,105.57088869996369,107.57120899995789,107.57120899995789,,108.07088489993475,108.07091420004144,108.08937970001716,0.5129176999907941,110.10336509998888,110.08807389996946,110.08809680002742,110.10336509998888,110.10336509998888,110.57151000003796,n,0.46514089999254793,None,110.57183269993402,110.58648409997113,112.0861154999584,112.07027529994957,100.571643400006,100.571643400006,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
audio\set_1\light_en-IN-Standard-X.wav,audio\set_1\might_en-IN-Standard-X.wav,audio\set_1\bite_en-IN-Standard-X.wav,audio\set_1\right_en-IN-Standard-X.wav,light,might,bite,right,500,3,,,,,0,3,3,19,112.0861154999584,,,,,,,,,,,,,,,,,112.07056689995807,112.0861154999584,112.0861154999584,115.0696948999539,115.06970979995094,115.08551390003413,117.08520770003088,117.08520770003088,117.58535439998377,117.56974109995645,117.56976540002506,117.58535439998377,119.58481939998455,119.58481939998455,120.08475999999791,120.06876569997985,120.06878139998298,120.08475999999791,122.08407959993929,122.08407959993929,122.60069949994795,122.56815459998325,122.56817069998942,122.60069949994795,0.512204600032419,124.60070589999668,124.58462869992945,124.58465159998741,124.60070589999668,124.60070589999668,125.11905540002044,n,0.5020342000061646,None,125.1193369999528,125.13377149996813,126.63328529999126,126.61737580003683,115.08551390003413,115.08551390003413,,,,,,,,,,,,2,001,2023-11-28_23h28.43.911,pitch_toj,2023.2.3,60.06493020847734,2023-11-28 23h28.57.122359 +0530,
